"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.10.10.10","31.13.89.53","TLSv1.2","123","Application Data"
"2","0.021693","31.13.89.53","10.10.10.10","TCP","60","443  >  54790 [ACK] Seq=1 Ack=70 Win=314 Len=0"
"3","0.074156","31.13.89.53","10.10.10.10","TLSv1.2","125","Application Data"
"4","0.126678","10.10.10.10","31.13.89.53","TCP","54","54790  >  443 [ACK] Seq=70 Ack=72 Win=260 Len=0"
"5","0.145393","10.10.10.118","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"6","0.145393","10.10.10.118","239.255.255.250","SSDP","440","NOTIFY * HTTP/1.1 "
"7","0.145393","10.10.10.118","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"8","0.145393","10.10.10.118","239.255.255.250","SSDP","497","NOTIFY * HTTP/1.1 "
"9","0.240013","10.10.10.118","239.255.255.250","SSDP","495","NOTIFY * HTTP/1.1 "
"10","1.470122","10.10.10.105","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"11","1.575827","10.10.10.105","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"12","1.586751","fe80::b877:e4ff:fe5f:565f","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"13","1.788147","10.10.10.251","10.10.10.255","UDP","387","36075  >  60000 Len=345"
"14","2.595515","10.10.10.118","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"15","2.596036","10.10.10.118","239.255.255.250","SSDP","440","NOTIFY * HTTP/1.1 "
"16","2.601785","10.10.10.118","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"17","2.601785","10.10.10.118","239.255.255.250","SSDP","511","NOTIFY * HTTP/1.1 "
"18","2.714267","10.10.10.118","239.255.255.250","SSDP","497","NOTIFY * HTTP/1.1 "
"19","2.714267","10.10.10.118","239.255.255.250","SSDP","495","NOTIFY * HTTP/1.1 "
"20","3.007565","10.10.10.105","224.0.0.251","MDNS","119","Standard query 0x0005 PTR _CC1AD845._sub._googlecast._tcp.local, ""QM"" question PTR _CC32E753._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"21","3.520848","10.10.10.105","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"22","3.521316","10.10.10.105","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"23","3.521316","fe80::b877:e4ff:fe5f:565f","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"24","3.619249","10.10.10.105","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"25","3.619713","fe80::b877:e4ff:fe5f:565f","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"26","4.340455","10.10.10.118","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"27","4.340960","10.10.10.118","239.255.255.250","SSDP","440","NOTIFY * HTTP/1.1 "
"28","4.345005","10.10.10.118","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"29","4.345005","10.10.10.118","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"30","4.345005","10.10.10.118","239.255.255.250","SSDP","440","NOTIFY * HTTP/1.1 "
"31","4.351295","10.10.10.118","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"32","4.351295","10.10.10.118","239.255.255.250","SSDP","511","NOTIFY * HTTP/1.1 "
"33","4.351295","10.10.10.118","239.255.255.250","SSDP","511","NOTIFY * HTTP/1.1 "
"34","4.351295","10.10.10.118","239.255.255.250","SSDP","495","NOTIFY * HTTP/1.1 "
"35","4.351295","10.10.10.118","239.255.255.250","SSDP","495","NOTIFY * HTTP/1.1 "
"36","4.972127","10.10.10.10","52.123.190.70","TLSv1.2","111","Application Data"
"37","5.059723","52.123.190.70","10.10.10.10","TLSv1.2","100","Application Data"
"38","5.112658","10.10.10.10","52.123.190.70","TCP","54","54743  >  443 [ACK] Seq=58 Ack=47 Win=512 Len=0"
